seqname	start	end	CD4
chr1	1243621	1243980	1
chr1	1247040	1247580	0
chr1	1248920	1249200	0
chr1	1265460	1265569	0
chr1	1273216	1273376	1
chr1	1293547	1293789	0
chr1	2471819	2472218	0
chr1	2474021	2474459	0
chr1	2477300	2477659	0
chr1	2478359	2478579	1
chr1	2479839	2480054	1
chr1	2483199	2483279	1
chr1	2483279	2483421	0
chr1	2487099	2487699	0
chr1	2487439	2487662	1
chr1	2487662	2487780	0
chr1	2488119	2488339	0
chr1	2488380	2488615	1
chr1	2488545	2488659	0
chr1	2488858	2489059	0
chr1	2490632	2490999	0
chr1	2490999	2491379	0
chr1	2494758	2494942	0
chr1	2496171	2496302	0
chr1	2496457	2496739	0
chr1	2497540	2497659	0
chr1	2497649	2497859	0
chr1	2498039	2498199	0
chr1	2498719	2498919	0
chr1	2501213	2501359	0
chr1	2501826	2502069	1
chr1	2501999	2502339	0
chr1	2502819	2503025	0
chr1	2503462	2503579	0
chr1	2507338	2507583	1
chr1	2507868	2508139	0
chr1	2512267	2512579	0
chr1	2512958	2513159	0
chr1	2513159	2513416	1
chr1	2513319	2513639	0
chr1	2514559	2514819	0
chr1	2516681	2516879	0
chr1	2520059	2520379	0
chr1	2520459	2521099	1
chr1	2522899	2523279	0
chr1	2523539	2523719	1
chr1	2523999	2524098	0
chr1	2524724	2525059	1
chr1	2525519	2525699	1
chr1	2526719	2527138	1
chr1	2527613	2527777	0
chr1	2528019	2528258	0
chr1	2528999	2529235	0
chr1	2529239	2529519	0
chr1	2533459	2533719	0
chr1	2533619	2533899	0
chr1	2533979	2534199	0
chr1	2534644	2535124	0
chr1	2534679	2534853	0
chr1	2535604	2535902	0
chr1	2535859	2536279	0
chr1	2536819	2537099	0
chr1	2537360	2537639	0
chr1	2537660	2538019	0
chr1	2537819	2538059	0
chr1	2538099	2538539	0
chr1	2538756	2538939	0
chr1	2538919	2539139	0
chr1	2539146	2539418	0
chr1	2539283	2539519	0
chr1	2539479	2539699	0
